longevity_hours,sillage_score,top_note_count,price_usd,concentration_percent,fragrance_family,brand_tier,gender_target,contains_alcohol,limited_edition,perfume_category,longevity_hours_outlier_flag,sillage_score_outlier_flag,top_note_count_outlier_flag,price_usd_outlier_flag,concentration_percent_outlier_flag
3.88,3.0,7,109.22,4.56,Oriental,Designer,Women,1,1,Eau De Cologne,False,False,False,False,False
6.88,6.53,5,39.32,19.55,Woody,Drugstore,Men,0,1,Eau De Parfum,False,False,False,False,False
1.1,6.88,8,10.0,4.61,Citrus,Luxury,Men,1,0,Eau De Toilette,False,False,False,False,False
2.97,3.02,10,10.0,1.5,Oriental,Unknown,Unisex,1,0,Eau De Cologne,False,False,False,False,False
8.79,5.17,3,50.93,10.99,Fresh,Unknown,Men,1,0,Eau De Toilette,False,False,False,False,False
6.66,5.35,5,148.18,25.13,Woody,Luxury,Women,1,1,Eau De Parfum,False,False,False,False,False
4.2,7.45,6,126.01,8.17,Floral,Drugstore,Men,1,0,Eau De Toilette,False,False,False,False,False
5.34,8.45,7,130.52,21.43,Oriental,Niche,Men,1,0,Eau De Parfum,False,False,False,False,False
3.67,7.34,7,63.43,7.2,Floral,Niche,Unisex,1,0,Eau De Toilette,False,False,False,False,False
0.82,1.0,6,41.79,10.86,Oriental,Unknown,Women,1,0,Eau De Cologne,False,False,False,False,False
5.35,2.66,6,20.63,5.59,Floral,Drugstore,Women,1,0,Eau De Toilette,False,False,False,False,False
5.39,6.36,2,43.67,15.86,Fresh,Drugstore,Women,1,0,Eau De Parfum,False,False,False,False,False
1.96,1.82,1,10.0,1.5,Fresh,Drugstore,Women,1,0,Eau De Cologne,False,False,False,False,False
6.4,4.53,10,10.0,1.5,Fresh,Drugstore,Women,1,0,Eau De Cologne,False,False,False,False,False
2.79,2.53,6,10.0,1.5,Floral,Designer,Women,1,0,Eau De Cologne,False,False,False,False,False
0.5,1.59,6,92.77,5.66,Woody,Designer,Women,1,0,Eau De Cologne,False,False,False,False,False
6.36,5.93,4,34.78,4.79,Floral,Designer,Men,1,0,Eau De Toilette,False,False,False,False,False
1.88,2.33,7,109.71,2.62,Citrus,Designer,Unisex,1,0,Eau De Toilette,False,False,False,False,False
9.1,4.44,8,95.56,11.91,Fresh,Niche,Women,0,0,Eau De Toilette,False,False,False,False,False
0.5,5.16,4,153.79,9.09,Floral,Designer,Men,1,0,Eau De Toilette,False,False,False,False,False
7.48,4.41,6,42.17,7.59,Floral,Unknown,Men,1,0,Eau De Toilette,False,False,False,False,False
5.37,10.0,6,10.0,16.83,Floral,Designer,Men,1,0,Eau De Parfum,False,False,False,False,False
4.47,7.87,1,165.16,22.09,Citrus,Designer,Women,1,0,Eau De Parfum,False,False,False,False,False
5.94,1.01,6,58.89,5.7,Floral,Niche,Men,1,1,Eau De Toilette,False,False,False,False,False
10.48,4.82,7,195.51,7.01,Floral,Niche,Women,1,0,Eau De Toilette,False,False,False,False,False
0.5,1.0,9,20.12,13.91,Woody,Drugstore,Men,1,1,Eau De Cologne,False,False,False,False,False
7.12,8.0,6,126.49,17.31,Floral,Drugstore,Men,1,0,Eau De Parfum,False,False,False,False,False
2.66,2.0,10,63.2,1.5,Woody,Luxury,Women,1,0,Eau De Cologne,False,False,False,False,False
3.7,6.34,9,90.74,10.51,Woody,Drugstore,Women,0,0,Eau De Toilette,False,False,False,False,False
4.17,2.61,2,196.16,18.71,Woody,Designer,Women,1,1,Eau De Parfum,False,False,False,False,False
1.4,3.65,6,10.0,8.89,Fresh,Niche,Men,0,0,Eau De Toilette,False,False,False,False,False
6.61,9.97,4,218.56,25.59,Woody,Designer,Men,0,0,Perfume Extract,False,False,False,False,False
6.44,7.31,3,131.41,19.88,Floral,Drugstore,Women,1,0,Eau De Parfum,False,False,False,False,False
3.07,6.74,3,112.26,9.3,Floral,Luxury,Men,1,0,Eau De Toilette,False,False,False,False,False
7.19,3.91,10,108.51,4.13,Citrus,Niche,Women,1,0,Eau De Toilette,False,False,False,False,False
3.86,5.73,7,10.0,9.52,Floral,Luxury,Men,1,0,Eau De Toilette,False,False,False,False,False
5.18,5.27,4,15.07,3.23,Fresh,Luxury,Unisex,1,0,Eau De Toilette,False,False,False,False,False
5.13,4.08,7,10.0,3.24,Oriental,Niche,Women,1,0,Eau De Toilette,False,False,False,False,False
9.01,7.26,3,147.19,12.07,Fresh,Designer,Women,1,1,Eau De Parfum,False,False,False,False,False
2.49,1.0,7,102.57,2.77,Fresh,Niche,Men,0,0,Eau De Cologne,False,False,False,False,False
5.8,1.0,2,181.03,11.22,Woody,Luxury,Women,1,0,Eau De Toilette,False,False,False,False,False
5.79,4.08,4,12.91,10.23,Fresh,Designer,Men,1,0,Eau De Toilette,False,False,False,False,False
9.19,8.39,5,87.46,11.75,Woody,Designer,Unisex,0,0,Eau De Parfum,False,False,False,False,False
5.31,7.27,3,120.98,20.82,Oriental,Designer,Women,1,0,Eau De Parfum,False,False,False,False,False
9.12,7.75,1,207.46,30.16,Woody,Niche,Women,0,0,Perfume Extract,False,False,False,False,False
6.12,10.0,5,135.26,22.91,Floral,Designer,Unisex,0,1,Eau De Parfum,False,False,False,False,False
8.55,3.86,7,48.88,11.25,Woody,Drugstore,Women,1,0,Eau De Toilette,False,False,False,False,False
5.58,7.57,4,61.8,12.25,Floral,Unknown,Men,1,1,Eau De Toilette,False,False,False,False,False
4.77,3.15,1,19.1,14.47,Woody,Luxury,Men,1,0,Eau De Parfum,False,False,False,False,False
4.73,7.02,2,136.25,19.63,Woody,Designer,Men,1,0,Eau De Parfum,False,False,False,False,False
5.1,1.53,8,17.35,11.14,Fresh,Drugstore,Women,1,0,Eau De Toilette,False,False,False,False,False
3.22,1.0,6,10.0,1.82,Oriental,Drugstore,Unisex,1,0,Eau De Cologne,False,False,False,False,False
8.6,7.31,4,110.42,13.93,Oriental,Luxury,Women,1,0,Eau De Parfum,False,False,False,False,False
6.56,4.14,6,175.69,5.79,Woody,Unknown,Unisex,1,0,Eau De Toilette,False,False,False,False,False
4.52,5.51,4,204.5,21.78,Citrus,Designer,Women,1,0,Eau De Parfum,False,False,False,False,False
2.74,5.31,3,16.47,11.09,Oriental,Designer,Women,1,0,Eau De Toilette,False,False,False,False,False
1.96,1.0,4,10.0,2.92,Fresh,Drugstore,Women,1,1,Eau De Toilette,False,False,False,False,False
3.46,5.19,7,123.28,22.61,Floral,Designer,Women,1,0,Eau De Parfum,False,False,False,False,False
8.04,6.5,1,62.5,16.55,Oriental,Designer,Women,0,1,Eau De Parfum,False,False,False,False,False
3.52,5.91,5,109.47,11.57,Floral,Drugstore,Women,1,0,Eau De Toilette,False,False,False,False,False
0.72,4.33,9,96.3,14.12,Woody,Luxury,Men,1,0,Eau De Cologne,False,False,False,False,False
0.5,6.55,2,10.0,12.72,Floral,Luxury,Women,0,0,Eau De Toilette,False,False,False,False,False
1.47,3.94,7,10.0,5.26,Woody,Luxury,Men,1,0,Eau De Cologne,False,False,False,False,False
4.51,8.64,2,167.14,15.15,Woody,Luxury,Unisex,0,0,Eau De Parfum,False,False,False,False,False
8.54,5.75,6,117.33,16.78,Woody,Designer,Women,1,0,Eau De Parfum,False,False,False,False,False
3.99,2.29,5,58.08,13.34,Floral,Luxury,Men,1,0,Eau De Toilette,False,False,False,False,False
6.9,5.68,4,104.43,16.2,Fresh,Drugstore,Women,1,0,Eau De Parfum,False,False,False,False,False
8.25,5.15,9,100.4,15.94,Floral,Designer,Unisex,1,0,Eau De Parfum,False,False,False,False,False
11.6,10.0,1,126.27,10.76,Woody,Luxury,Unisex,0,0,Eau De Parfum,False,False,False,False,False
4.08,6.83,6,42.24,13.16,Oriental,Designer,Women,1,0,Eau De Toilette,False,False,False,False,False
5.09,4.96,8,10.0,11.16,Citrus,Luxury,Women,1,0,Eau De Toilette,False,False,False,False,False
4.4,5.36,8,88.74,11.45,Floral,Luxury,Unisex,0,0,Eau De Toilette,False,False,False,False,False
7.59,7.19,8,145.53,24.23,Woody,Niche,Men,0,0,Eau De Parfum,False,False,False,False,False
5.01,5.34,4,29.34,10.36,Floral,Luxury,Women,0,0,Eau De Toilette,False,False,False,False,False
8.19,9.18,9,116.44,17.42,Floral,Designer,Women,1,0,Eau De Parfum,False,False,False,False,False
1.2,4.17,8,18.5,6.61,Woody,Drugstore,Men,0,0,Eau De Cologne,False,False,False,False,False
5.11,1.14,8,107.06,12.66,Floral,Luxury,Women,1,0,Eau De Toilette,False,False,False,False,False
1.85,1.0,8,80.64,3.93,Woody,Drugstore,Men,1,0,Eau De Cologne,False,False,False,False,False
6.14,6.44,8,210.36,21.63,Floral,Drugstore,Unisex,1,0,Eau De Parfum,False,False,False,False,False
0.5,2.56,7,35.61,5.83,Citrus,Niche,Women,0,0,Eau De Cologne,False,False,False,False,False
4.3,3.31,7,87.12,1.53,Floral,Designer,Women,0,0,Eau De Cologne,False,False,False,False,False
7.28,7.97,1,90.5,18.86,Citrus,Designer,Men,1,0,Eau De Parfum,False,False,False,False,False
0.79,2.48,5,33.15,3.89,Floral,Unknown,Men,1,0,Eau De Toilette,False,False,False,False,False
7.37,7.72,6,61.79,21.01,Woody,Designer,Men,1,1,Eau De Parfum,False,False,False,False,False
2.18,3.32,6,24.9,3.96,Fresh,Luxury,Women,1,0,Eau De Toilette,False,False,False,False,False
10.45,9.19,5,245.26,26.71,Floral,Luxury,Unisex,1,0,Perfume Extract,False,False,False,False,False
7.15,5.49,2,108.84,19.26,Oriental,Designer,Women,0,0,Eau De Parfum,False,False,False,False,False
4.28,1.0,7,117.04,7.95,Floral,Designer,Women,1,0,Eau De Toilette,False,False,False,False,False
4.78,9.85,4,10.0,17.39,Woody,Niche,Unisex,1,0,Eau De Parfum,False,False,False,False,False
4.87,3.85,10,148.04,8.4,Fresh,Designer,Women,1,0,Eau De Toilette,False,False,False,False,False
9.76,7.36,2,236.12,29.33,Citrus,Luxury,Unisex,1,0,Perfume Extract,False,False,False,False,False
10.66,4.41,7,93.73,12.39,Floral,Designer,Men,1,0,Eau De Toilette,False,False,False,False,False
3.03,3.22,5,33.32,3.8,Woody,Drugstore,Men,1,1,Eau De Cologne,False,False,False,False,False
4.74,5.5,9,32.12,13.47,Fresh,Designer,Women,1,0,Eau De Toilette,False,False,False,False,False
3.22,4.85,7,34.24,11.02,Oriental,Designer,Men,1,0,Eau De Toilette,False,False,False,False,False
9.19,6.9,3,81.09,20.29,Citrus,Luxury,Women,1,0,Eau De Parfum,False,False,False,False,False
6.69,2.38,3,134.84,13.19,Floral,Designer,Men,1,0,Eau De Parfum,False,False,False,False,False
5.9,7.35,5,11.26,16.42,Fresh,Luxury,Men,1,0,Eau De Parfum,False,False,False,False,False
0.5,4.05,2,80.5,5.71,Floral,Luxury,Men,1,0,Eau De Toilette,False,False,False,False,False
8.31,5.93,2,138.73,9.87,Oriental,Designer,Men,1,0,Eau De Toilette,False,False,False,False,False
7.9,3.71,7,83.48,11.58,Floral,Unknown,Men,0,0,Eau De Toilette,False,False,False,False,False
2.68,1.0,4,10.0,1.5,Woody,Niche,Women,1,0,Eau De Cologne,False,False,False,False,False
8.94,8.14,4,228.83,13.82,Citrus,Drugstore,Women,1,0,Eau De Parfum,False,False,False,False,False
8.46,6.74,4,141.15,24.24,Oriental,Drugstore,Men,1,0,Eau De Parfum,False,False,False,False,False
1.19,8.54,7,99.39,7.45,Citrus,Niche,Men,1,0,Eau De Toilette,False,False,False,False,False
7.59,6.53,8,12.33,9.93,Woody,Luxury,Men,0,0,Eau De Toilette,False,False,False,False,False
5.47,6.7,4,183.08,15.31,Fresh,Designer,Women,1,0,Eau De Parfum,False,False,False,False,False
3.24,3.7,4,134.62,10.84,Floral,Niche,Women,0,0,Eau De Toilette,False,False,False,False,False
5.34,2.81,7,118.71,7.32,Floral,Luxury,Women,1,0,Eau De Toilette,False,False,False,False,False
8.29,8.12,1,10.0,15.23,Floral,Designer,Women,1,0,Eau De Parfum,False,False,False,False,False
12.1,9.44,2,223.7,26.33,Floral,Niche,Women,0,0,Perfume Extract,False,False,False,False,False
2.69,1.84,5,126.89,20.88,Woody,Luxury,Women,1,0,Eau De Parfum,False,False,False,False,False
1.08,7.57,5,10.0,15.86,Fresh,Designer,Men,1,1,Eau De Toilette,False,False,False,False,False
4.18,4.97,4,106.65,3.59,Woody,Niche,Men,1,0,Eau De Toilette,False,False,False,False,False
0.5,1.13,7,10.0,1.5,Fresh,Niche,Men,1,0,Eau De Cologne,False,False,False,False,False
1.08,4.45,9,132.95,11.32,Fresh,Luxury,Men,1,0,Eau De Toilette,False,False,False,False,False
5.64,6.15,7,45.72,13.12,Woody,Luxury,Women,1,0,Eau De Toilette,False,False,False,False,False
3.45,7.2,10,21.33,2.75,Fresh,Luxury,Women,1,1,Eau De Toilette,False,False,False,False,False
5.16,4.09,9,145.05,9.52,Oriental,Niche,Unisex,1,0,Eau De Toilette,False,False,False,False,False
4.22,3.38,5,13.6,8.66,Woody,Drugstore,Men,1,0,Eau De Toilette,False,False,False,False,False
12.15,10.0,4,222.7,24.54,Floral,Unknown,Women,1,0,Perfume Extract,False,False,False,False,False
2.05,5.17,5,68.31,11.14,Floral,Designer,Unisex,1,0,Eau De Toilette,False,False,False,False,False
4.09,4.3,5,158.88,7.27,Citrus,Designer,Men,1,0,Eau De Toilette,False,False,False,False,False
6.57,3.89,5,54.44,5.86,Oriental,Luxury,Women,1,0,Eau De Toilette,False,False,False,False,False
2.33,4.31,7,26.51,11.39,Citrus,Designer,Women,1,1,Eau De Toilette,False,False,False,False,False
2.87,1.93,6,88.99,9.33,Citrus,Drugstore,Women,1,0,Eau De Toilette,False,False,False,False,False
5.01,3.65,10,83.19,10.28,Fresh,Designer,Women,1,0,Eau De Toilette,False,False,False,False,False
10.02,4.22,7,105.86,17.85,Fresh,Designer,Women,1,0,Eau De Parfum,False,False,False,False,False
2.48,2.85,3,66.53,13.81,Woody,Designer,Women,1,0,Eau De Toilette,False,False,False,False,False
8.19,10.0,3,246.7,27.92,Floral,Drugstore,Men,0,0,Perfume Extract,False,False,False,False,False
0.5,3.45,9,10.13,1.5,Oriental,Designer,Men,1,1,Eau De Cologne,False,False,False,False,False
5.08,4.47,2,96.82,7.11,Floral,Designer,Unisex,1,0,Eau De Toilette,False,False,False,False,False
4.12,1.0,9,10.0,1.64,Woody,Luxury,Women,0,0,Eau De Cologne,False,False,False,False,False
2.59,6.98,6,87.22,9.08,Oriental,Drugstore,Men,1,0,Eau De Toilette,False,False,False,False,False
3.8,3.11,4,81.4,8.14,Fresh,Designer,Women,1,0,Eau De Toilette,False,False,False,False,False
2.22,1.0,3,64.76,3.45,Floral,Designer,Men,1,0,Eau De Cologne,False,False,False,False,False
3.14,5.62,6,32.77,4.67,Citrus,Designer,Men,1,0,Eau De Toilette,False,False,False,False,False
2.37,3.6,6,47.2,13.5,Fresh,Niche,Women,1,0,Eau De Toilette,False,False,False,False,False
8.81,5.86,3,162.36,14.91,Oriental,Designer,Unisex,1,1,Eau De Parfum,False,False,False,False,False
4.02,4.42,6,45.1,4.28,Woody,Niche,Unisex,1,0,Eau De Toilette,False,False,False,False,False
6.99,10.0,6,146.81,20.92,Fresh,Luxury,Women,1,0,Eau De Parfum,False,False,False,False,False
8.77,7.76,5,137.17,15.33,Woody,Designer,Men,1,0,Eau De Parfum,False,False,False,False,False
4.3,5.52,2,126.75,19.75,Fresh,Designer,Unisex,1,0,Eau De Parfum,False,False,False,False,False
4.36,4.09,8,34.68,1.5,Woody,Designer,Unisex,1,0,Eau De Cologne,False,False,False,False,False
8.24,6.14,6,120.22,17.32,Woody,Drugstore,Women,1,0,Eau De Parfum,False,False,False,False,False
6.45,1.0,2,125.71,12.82,Oriental,Niche,Men,1,0,Eau De Parfum,False,False,False,False,False
8.59,2.38,7,164.58,15.86,Fresh,Designer,Women,1,0,Eau De Parfum,False,False,False,False,False
11.14,7.95,3,268.5,30.56,Oriental,Niche,Men,1,0,Perfume Extract,False,False,False,False,False
10.46,9.8,3,225.77,31.34,Fresh,Drugstore,Women,1,0,Perfume Extract,False,False,False,False,False
5.91,5.67,6,49.69,26.7,Floral,Designer,Men,1,0,Eau De Parfum,False,False,False,False,False
0.5,3.14,4,10.0,9.81,Floral,Designer,Women,1,0,Eau De Cologne,False,False,False,False,False
8.39,3.91,5,185.82,19.38,Floral,Luxury,Women,1,0,Eau De Parfum,False,False,False,False,False
5.43,4.29,7,117.59,18.16,Woody,Niche,Unisex,1,0,Eau De Parfum,False,False,False,False,False
2.68,5.69,6,78.72,8.17,Fresh,Drugstore,Women,1,0,Eau De Toilette,False,False,False,False,False
3.19,7.1,6,24.87,14.53,Citrus,Designer,Women,1,0,Eau De Parfum,False,False,False,False,False
10.86,7.32,4,340.36,19.01,Woody,Designer,Women,1,0,Perfume Extract,False,False,False,True,False
9.28,6.34,3,231.7,32.35,Floral,Designer,Women,0,0,Perfume Extract,False,False,False,False,False
4.65,2.79,5,10.0,13.75,Citrus,Designer,Women,1,0,Eau De Toilette,False,False,False,False,False
6.54,10.0,5,136.54,27.55,Floral,Designer,Men,1,1,Eau De Parfum,False,False,False,False,False
9.35,5.16,6,75.16,27.7,Fresh,Drugstore,Unisex,1,0,Eau De Parfum,False,False,False,False,False
3.18,8.02,8,75.97,7.06,Woody,Luxury,Men,1,0,Eau De Toilette,False,False,False,False,False
7.65,9.62,3,112.69,20.53,Oriental,Luxury,Unisex,1,0,Eau De Parfum,False,False,False,False,False
6.3,5.29,7,10.0,21.05,Fresh,Drugstore,Unisex,0,0,Eau De Parfum,False,False,False,False,False
3.86,6.6,6,10.0,1.5,Citrus,Drugstore,Women,1,0,Eau De Cologne,False,False,False,False,False
3.65,6.59,6,192.79,21.68,Citrus,Luxury,Unisex,1,1,Eau De Parfum,False,False,False,False,False
10.57,9.02,7,59.43,14.04,Woody,Luxury,Women,1,0,Eau De Parfum,False,False,False,False,False
6.45,8.54,10,144.52,17.88,Woody,Designer,Unisex,1,0,Eau De Parfum,False,False,False,False,False
3.84,4.96,8,120.11,8.16,Woody,Niche,Women,0,0,Eau De Toilette,False,False,False,False,False
7.54,6.08,2,99.56,15.01,Citrus,Niche,Women,1,0,Eau De Parfum,False,False,False,False,False
4.95,6.6,5,10.0,15.94,Citrus,Drugstore,Men,0,0,Eau De Toilette,False,False,False,False,False
4.07,2.31,9,29.92,9.12,Citrus,Designer,Men,1,0,Eau De Toilette,False,False,False,False,False
5.41,6.85,4,164.35,15.63,Citrus,Niche,Men,1,0,Eau De Parfum,False,False,False,False,False
2.74,8.3,8,116.18,14.63,Fresh,Unknown,Women,1,0,Eau De Parfum,False,False,False,False,False
7.25,7.37,4,75.86,8.17,Fresh,Designer,Unisex,1,0,Eau De Toilette,False,False,False,False,False
10.43,3.52,7,10.0,17.21,Citrus,Drugstore,Men,1,0,Eau De Parfum,False,False,False,False,False
6.77,9.25,2,100.37,17.68,Fresh,Luxury,Women,1,0,Eau De Toilette,False,False,False,False,False
0.88,1.0,10,81.17,2.13,Floral,Designer,Men,1,0,Eau De Cologne,False,False,False,False,False
2.58,6.77,6,124.87,16.82,Woody,Niche,Unisex,1,1,Eau De Parfum,False,False,False,False,False
10.19,6.45,3,83.27,18.6,Woody,Drugstore,Women,1,0,Eau De Parfum,False,False,False,False,False
8.69,8.91,2,93.18,26.61,Floral,Niche,Women,1,0,Eau De Parfum,False,False,False,False,False
8.74,7.81,9,97.34,10.58,Floral,Designer,Unisex,0,0,Eau De Parfum,False,False,False,False,False
3.09,6.32,1,41.76,22.03,Citrus,Designer,Unisex,0,0,Eau De Parfum,False,False,False,False,False
7.93,2.47,8,24.06,5.59,Woody,Drugstore,Women,1,0,Eau De Toilette,False,False,False,False,False
2.06,1.82,10,33.32,1.5,Fresh,Niche,Unisex,1,0,Eau De Cologne,False,False,False,False,False
4.64,2.02,1,88.21,11.64,Floral,Designer,Unisex,0,0,Eau De Toilette,False,False,False,False,False
12.0,5.59,6,183.34,22.07,Woody,Drugstore,Women,1,0,Perfume Extract,False,False,False,False,False
11.16,9.02,4,314.38,25.28,Oriental,Niche,Women,1,0,Perfume Extract,False,False,False,True,False
6.72,3.01,8,124.08,21.22,Floral,Unknown,Women,1,0,Eau De Parfum,False,False,False,False,False
4.01,4.5,5,51.85,6.47,Woody,Drugstore,Women,0,0,Eau De Toilette,False,False,False,False,False
3.96,5.27,3,131.09,22.55,Woody,Niche,Women,1,0,Eau De Parfum,False,False,False,False,False
3.88,6.54,4,131.09,14.93,Woody,Designer,Men,0,0,Eau De Toilette,False,False,False,False,False
6.7,7.02,4,107.17,13.65,Oriental,Niche,Women,0,0,Eau De Toilette,False,False,False,False,False
4.62,7.28,8,76.17,15.71,Citrus,Drugstore,Men,1,0,Eau De Parfum,False,False,False,False,False
5.73,8.95,3,172.47,17.6,Woody,Designer,Women,1,0,Eau De Parfum,False,False,False,False,False
7.07,8.54,8,80.63,12.88,Citrus,Designer,Women,0,0,Eau De Parfum,False,False,False,False,False
8.09,5.77,7,63.64,12.24,Woody,Niche,Women,1,0,Eau De Toilette,False,False,False,False,False
8.38,7.24,3,109.56,6.76,Oriental,Niche,Women,1,1,Eau De Parfum,False,False,False,False,False
3.2,2.34,8,10.0,4.82,Citrus,Drugstore,Women,1,0,Eau De Toilette,False,False,False,False,False
4.91,1.0,8,45.52,3.78,Floral,Designer,Women,0,0,Eau De Cologne,False,False,False,False,False
7.25,5.97,6,172.84,14.9,Oriental,Luxury,Men,1,0,Eau De Parfum,False,False,False,False,False
0.5,5.35,5,125.08,10.66,Floral,Designer,Women,1,0,Eau De Toilette,False,False,False,False,False
6.25,1.63,5,53.07,5.82,Oriental,Drugstore,Women,0,0,Eau De Toilette,False,False,False,False,False
7.95,3.12,10,10.0,3.59,Woody,Designer,Men,1,1,Eau De Cologne,False,False,False,False,False
6.02,1.0,5,29.81,4.69,Floral,Luxury,Women,1,0,Eau De Cologne,False,False,False,False,False
4.53,3.82,5,45.62,11.18,Fresh,Luxury,Women,1,0,Eau De Toilette,False,False,False,False,False
5.81,2.55,10,114.78,8.86,Woody,Niche,Women,1,1,Eau De Toilette,False,False,False,False,False
5.76,6.69,4,131.54,10.74,Oriental,Designer,Unisex,1,0,Eau De Parfum,False,False,False,False,False
4.37,2.68,6,132.98,15.26,Fresh,Drugstore,Women,1,0,Eau De Toilette,False,False,False,False,False
9.95,6.68,5,174.97,22.74,Woody,Drugstore,Unisex,1,0,Eau De Parfum,False,False,False,False,False
2.14,5.48,3,80.69,8.15,Floral,Drugstore,Men,1,0,Eau De Toilette,False,False,False,False,False
8.18,7.69,6,10.0,10.7,Oriental,Unknown,Unisex,1,0,Eau De Toilette,False,False,False,False,False
4.82,7.1,7,96.53,9.94,Citrus,Luxury,Women,1,0,Eau De Toilette,False,False,False,False,False
7.55,1.0,7,10.0,6.35,Citrus,Niche,Men,1,0,Eau De Cologne,False,False,False,False,False
6.91,5.24,5,212.58,17.85,Fresh,Drugstore,Unisex,1,0,Eau De Parfum,False,False,False,False,False
7.99,8.45,4,158.56,21.25,Oriental,Drugstore,Men,1,0,Perfume Extract,False,False,False,False,False
1.3,6.5,7,85.12,9.05,Floral,Drugstore,Women,1,0,Eau De Toilette,False,False,False,False,False
10.32,9.73,5,149.19,19.34,Floral,Luxury,Women,1,0,Eau De Parfum,False,False,False,False,False
7.75,1.0,10,45.87,2.49,Floral,Drugstore,Unisex,0,0,Eau De Cologne,False,False,False,False,False
0.5,1.29,7,10.0,1.5,Floral,Drugstore,Men,1,0,Eau De Cologne,False,False,False,False,False
8.27,8.22,1,203.15,24.04,Floral,Designer,Unisex,0,0,Perfume Extract,False,False,False,False,False
7.33,5.92,5,149.56,17.71,Citrus,Drugstore,Unisex,1,1,Eau De Parfum,False,False,False,False,False
2.77,4.38,9,51.38,10.9,Woody,Drugstore,Women,1,0,Eau De Toilette,False,False,False,False,False
2.9,1.0,3,21.11,4.53,Fresh,Drugstore,Unisex,0,0,Eau De Toilette,False,False,False,False,False
6.42,6.96,5,53.05,9.2,Fresh,Drugstore,Unisex,1,0,Eau De Toilette,False,False,False,False,False
2.51,3.8,4,10.0,11.02,Fresh,Luxury,Men,1,0,Eau De Toilette,False,False,False,False,False
9.18,10.0,3,156.57,25.48,Floral,Drugstore,Women,1,0,Eau De Parfum,False,False,False,False,False
4.04,3.61,5,61.11,13.02,Oriental,Designer,Unisex,1,0,Eau De Toilette,False,False,False,False,False
6.64,7.98,8,40.58,22.57,Fresh,Unknown,Women,1,0,Eau De Parfum,False,False,False,False,False
6.14,4.28,10,122.4,6.28,Fresh,Designer,Women,1,0,Eau De Toilette,False,False,False,False,False
3.86,1.0,8,104.92,11.52,Citrus,Drugstore,Women,1,0,Eau De Toilette,False,False,False,False,False
